Año,Trimestre,Provincia,Accesos por cada 100 hab
2024,1,Buenos Aires,27.8
2024,1,Capital Federal,48.78
2024,1,Catamarca,17.5
2024,1,Chaco,12.48
2024,1,Chubut,26.02
2024,1,Córdoba,27.77
2024,1,Corrientes,13.68
2024,1,Entre Ríos,20.72
2024,1,Formosa,10.08
2024,1,Jujuy,14.74
2024,1,La Pampa,33.11
2024,1,La Rioja,21.3
2024,1,Mendoza,14.67
2024,1,Misiones,15.46
2024,1,Neuquén,23.66
2024,1,Río Negro,21.88
2024,1,Salta,13.63
2024,1,San Juan,13.15
2024,1,San Luis,29.39
2024,1,Santa Cruz,20.1
2024,1,Santa Fe,25.28
2024,1,Santiago Del Estero,12.26
2024,1,Tierra Del Fuego,32.54
2024,1,Tucumán,14.98
2023,4,Buenos Aires,27.68
2023,4,Capital Federal,47.8
2023,4,Catamarca,17.46
2023,4,Chaco,11.85
2023,4,Chubut,26.04
2023,4,Córdoba,27.76
2023,4,Corrientes,13.84
2023,4,Entre Ríos,20.91
2023,4,Formosa,9.98
2023,4,Jujuy,14.77
2023,4,La Pampa,32.93
2023,4,La Rioja,21.35
2023,4,Mendoza,14.55
2023,4,Misiones,15.33
2023,4,Neuquén,23.78
2023,4,Río Negro,21.61
2023,4,Salta,13.8
2023,4,San Juan,12.75
2023,4,San Luis,29.21
2023,4,Santa Cruz,21.94
2023,4,Santa Fe,25.08
2023,4,Santiago Del Estero,12.18
2023,4,Tierra Del Fuego,32.75
2023,4,Tucumán,15.12
2023,3,Buenos Aires,27.5
2023,3,Capital Federal,47.6
2023,3,Catamarca,17.44
2023,3,Chaco,11.46
2023,3,Chubut,25.82
2023,3,Córdoba,27.57
2023,3,Corrientes,13.9
2023,3,Entre Ríos,20.58
2023,3,Formosa,9.89
2023,3,Jujuy,14.73
2023,3,La Pampa,32.62
2023,3,La Rioja,21.41
2023,3,Mendoza,14.52
2023,3,Misiones,15.12
2023,3,Neuquén,23.8
2023,3,Río Negro,21.04
2023,3,Salta,13.94
2023,3,San Juan,12.85
2023,3,San Luis,28.2
2023,3,Santa Cruz,12.17
2023,3,Santa Fe,24.87
2023,3,Santiago Del Estero,12.08
2023,3,Tierra Del Fuego,31.41
2023,3,Tucumán,15.17
2023,2,Buenos Aires,27.1
2023,2,Capital Federal,47.27
2023,2,Catamarca,17.15
2023,2,Chaco,11.46
2023,2,Chubut,25.28
2023,2,Córdoba,27.59
2023,2,Corrientes,13.79
2023,2,Entre Ríos,19.26
2023,2,Formosa,9.75
2023,2,Jujuy,14.78
2023,2,La Pampa,32.4
2023,2,La Rioja,21.3
2023,2,Mendoza,14.54
2023,2,Misiones,15.03
2023,2,Neuquén,23.5
2023,2,Río Negro,21.09
2023,2,Salta,13.92
2023,2,San Juan,12.1
2023,2,San Luis,26.73
2023,2,Santa Cruz,12.39
2023,2,Santa Fe,24.79
2023,2,Santiago Del Estero,11.7
2023,2,Tierra Del Fuego,31.54
2023,2,Tucumán,15.05
2023,1,Buenos Aires,26.81
2023,1,Capital Federal,50.23
2023,1,Catamarca,16.83
2023,1,Chaco,11.53
2023,1,Chubut,26.32
2023,1,Córdoba,27.2
2023,1,Corrientes,13.71
2023,1,Entre Ríos,19.37
2023,1,Formosa,9.87
2023,1,Jujuy,14.88
2023,1,La Pampa,31.81
2023,1,La Rioja,21.23
2023,1,Mendoza,14.34
2023,1,Misiones,14.7
2023,1,Neuquén,23.38
2023,1,Río Negro,21.27
2023,1,Salta,13.97
2023,1,San Juan,12.67
2023,1,San Luis,25.8
2023,1,Santa Cruz,12.92
2023,1,Santa Fe,24.57
2023,1,Santiago Del Estero,11.8
2023,1,Tierra Del Fuego,30.9
2023,1,Tucumán,14.95
2022,4,Buenos Aires,26.72
2022,4,Capital Federal,50.35
2022,4,Catamarca,16.73
2022,4,Chaco,11.66
2022,4,Chubut,26.23
2022,4,Córdoba,27.26
2022,4,Corrientes,13.6
2022,4,Entre Ríos,19.14
2022,4,Formosa,10.03
2022,4,Jujuy,14.95
2022,4,La Pampa,31.23
2022,4,La Rioja,21.26
2022,4,Mendoza,14.33
2022,4,Misiones,14.39
2022,4,Neuquén,23.41
2022,4,Río Negro,21.04
2022,4,Salta,14.04
2022,4,San Juan,12.96
2022,4,San Luis,25.83
2022,4,Santa Cruz,12.95
2022,4,Santa Fe,24.65
2022,4,Santiago Del Estero,11.92
2022,4,Tierra Del Fuego,30.07
2022,4,Tucumán,15.12
2022,3,Buenos Aires,26.37
2022,3,Capital Federal,50.22
2022,3,Catamarca,16.62
2022,3,Chaco,11.72
2022,3,Chubut,25.86
2022,3,Córdoba,27.04
2022,3,Corrientes,12.69
2022,3,Entre Ríos,19.04
2022,3,Formosa,11.14
2022,3,Jujuy,15.06
2022,3,La Pampa,31.82
2022,3,La Rioja,21.47
2022,3,Mendoza,14.24
2022,3,Misiones,14.11
2022,3,Neuquén,23.92
2022,3,Río Negro,20.91
2022,3,Salta,13.99
2022,3,San Juan,12.94
2022,3,San Luis,23.39
2022,3,Santa Cruz,12.85
2022,3,Santa Fe,24.7
2022,3,Santiago Del Estero,11.91
2022,3,Tierra Del Fuego,29.5
2022,3,Tucumán,15.14
2022,2,Buenos Aires,26.12927127832741
2022,2,Capital Federal,49.87356125626108
2022,2,Catamarca,15.87179019524709
2022,2,Chaco,11.70254390369554
2022,2,Chubut,25.49991933627064
2022,2,Córdoba,26.78159084113349
2022,2,Corrientes,12.73214696538365
2022,2,Entre Ríos,19.10468595065942
2022,2,Formosa,11.04981459114009
2022,2,Jujuy,14.65691352454068
2022,2,La Pampa,30.63272155966579
2022,2,La Rioja,21.33140921691437
2022,2,Mendoza,13.78223378457058
2022,2,Misiones,13.89002818196789
2022,2,Neuquén,23.81745752817118
2022,2,Río Negro,20.86754352738339
2022,2,Salta,13.93601055744865
2022,2,San Juan,12.59791245563121
2022,2,San Luis,23.39697267877185
2022,2,Santa Cruz,12.83962283852644
2022,2,Santa Fe,24.49590679916461
2022,2,Santiago Del Estero,11.83673796812893
2022,2,Tierra Del Fuego,29.60495526496903
2022,2,Tucumán,14.6914572899128
2022,1,Buenos Aires,25.56303015202835
2022,1,Capital Federal,46.01434762144353
2022,1,Catamarca,14.80561957499531
2022,1,Chaco,11.77534204043615
2022,1,Chubut,26.9887596631044
2022,1,Córdoba,26.25526221835117
2022,1,Corrientes,12.54528128731279
2022,1,Entre Ríos,19.04540527092108
2022,1,Formosa,8.896427435598431
2022,1,Jujuy,14.84764182862939
2022,1,La Pampa,30.20041503140257
2022,1,La Rioja,20.96917417226944
2022,1,Mendoza,13.5994765497552
2022,1,Misiones,13.35753933670255
2022,1,Neuquén,22.07746042609429
2022,1,Río Negro,20.61822984084394
2022,1,Salta,13.58816605335375
2022,1,San Juan,11.09211646860664
2022,1,San Luis,23.10165623168738
2022,1,Santa Cruz,12.89429732880957
2022,1,Santa Fe,24.30739699893441
2022,1,Santiago Del Estero,11.7068821320295
2022,1,Tierra Del Fuego,29.13865104068589
2022,1,Tucumán,14.21553333429808
2021,4,Buenos Aires,25.36251411440295
2021,4,Capital Federal,45.84851071456286
2021,4,Catamarca,14.05422375922539
2021,4,Chaco,11.77239945816415
2021,4,Chubut,25.30932514465697
2021,4,Córdoba,25.87315371553768
2021,4,Corrientes,11.98319855262091
2021,4,Entre Ríos,18.88227767661483
2021,4,Formosa,8.768865242200624
2021,4,Jujuy,14.55524194424249
2021,4,La Pampa,29.50989206153099
2021,4,La Rioja,20.74238205028396
2021,4,Mendoza,13.25625900699059
2021,4,Misiones,13.36331904326844
2021,4,Neuquén,21.81756311907738
2021,4,Río Negro,20.20561356844543
2021,4,Salta,13.75933769149771
2021,4,San Juan,10.08413323597033
2021,4,San Luis,22.97895624197615
2021,4,Santa Cruz,12.80882135384745
2021,4,Santa Fe,24.23965799751964
2021,4,Santiago Del Estero,11.67544047048011
2021,4,Tierra Del Fuego,29.17100783918254
2021,4,Tucumán,13.85288044642406
2021,3,Buenos Aires,23.96989190399953
2021,3,Capital Federal,45.90038346526859
2021,3,Catamarca,13.40747237661236
2021,3,Chaco,11.48213456009956
2021,3,Chubut,24.73837550288017
2021,3,Córdoba,24.88595762867567
2021,3,Corrientes,11.8228555121759
2021,3,Entre Ríos,18.59056559586913
2021,3,Formosa,8.643582187295351
2021,3,Jujuy,14.24038186842399
2021,3,La Pampa,27.76789119105123
2021,3,La Rioja,20.5659645302194
2021,3,Mendoza,12.71022811358104
2021,3,Misiones,12.41177258132581
2021,3,Neuquén,20.74816202113861
2021,3,Río Negro,19.05925062746504
2021,3,Salta,13.55352602212216
2021,3,San Juan,10.05023664202252
2021,3,San Luis,22.85740881878953
2021,3,Santa Cruz,13.01625437188387
2021,3,Santa Fe,23.58815244581783
2021,3,Santiago Del Estero,11.66073669089168
2021,3,Tierra Del Fuego,28.15017011282937
2021,3,Tucumán,13.53344677571184
2021,2,Buenos Aires,23.35247372787298
2021,2,Capital Federal,45.48719048129489
2021,2,Catamarca,13.3137486714673
2021,2,Chaco,11.5800413405394
2021,2,Chubut,22.15978177142021
2021,2,Córdoba,24.52840629125375
2021,2,Corrientes,11.46506458012956
2021,2,Entre Ríos,18.43568063291792
2021,2,Formosa,8.456293049570467
2021,2,Jujuy,14.36678406921869
2021,2,La Pampa,27.04355844019194
2021,2,La Rioja,20.49158509575061
2021,2,Mendoza,11.43384706680062
2021,2,Misiones,12.26014659485293
2021,2,Neuquén,20.58023612564588
2021,2,Río Negro,19.05205186012839
2021,2,Salta,13.30344139138451
2021,2,San Juan,10.00671906693712
2021,2,San Luis,23.89055527674358
2021,2,Santa Cruz,13.09675642578496
2021,2,Santa Fe,23.60478745301367
2021,2,Santiago Del Estero,11.55438887521685
2021,2,Tierra Del Fuego,20.12664794577708
2021,2,Tucumán,13.60616381972801
2021,1,Buenos Aires,22.99835397576202
2021,1,Capital Federal,44.82699016464177
2021,1,Catamarca,12.43827891825652
2021,1,Chaco,11.52889647748784
2021,1,Chubut,21.14783831507626
2021,1,Córdoba,24.06137164566151
2021,1,Corrientes,11.2341158695361
2021,1,Entre Ríos,18.07058172150435
2021,1,Formosa,8.330895284429907
2021,1,Jujuy,14.22604596650074
2021,1,La Pampa,26.94329989872504
2021,1,La Rioja,13.25836016344957
2021,1,Mendoza,10.92600245147947
2021,1,Misiones,11.75881161122332
2021,1,Neuquén,19.89591733118299
2021,1,Río Negro,18.72490565787466
2021,1,Salta,13.06112842623618
2021,1,San Juan,9.948368694803314
2021,1,San Luis,23.24883515831701
2021,1,Santa Cruz,12.39182540344383
2021,1,Santa Fe,23.24238218613048
2021,1,Santiago Del Estero,11.33487116903265
2021,1,Tierra Del Fuego,22.9312154304354
2021,1,Tucumán,13.57896382467824
2020,4,Buenos Aires,22.90151153254686
2020,4,Capital Federal,44.8339684267828
2020,4,Catamarca,12.56745930854508
2020,4,Chaco,11.50064617804086
2020,4,Chubut,20.95087117462161
2020,4,Córdoba,23.904978675681
2020,4,Corrientes,11.17200273478863
2020,4,Entre Ríos,17.78197083072765
2020,4,Formosa,8.268390853815193
2020,4,Jujuy,13.66962311713536
2020,4,La Pampa,26.9404221718048
2020,4,La Rioja,13.33912951173094
2020,4,Mendoza,10.77975385779228
2020,4,Misiones,11.6148987925828
2020,4,Neuquén,19.94355555089513
2020,4,Río Negro,18.78931905517175
2020,4,Salta,13.08838905741109
2020,4,San Juan,9.251858120163535
2020,4,San Luis,23.3753143684741
2020,4,Santa Cruz,11.0086826606617
2020,4,Santa Fe,23.13676974317691
2020,4,Santiago Del Estero,10.85743716480517
2020,4,Tierra Del Fuego,22.60956914313763
2020,4,Tucumán,13.57016980842894
2020,3,Buenos Aires,22.41008805344029
2020,3,Capital Federal,44.62274289719256
2020,3,Catamarca,11.99528880128837
2020,3,Chaco,11.10276736190542
2020,3,Chubut,20.94871530485329
2020,3,Córdoba,23.02970835350987
2020,3,Corrientes,10.99361361668158
2020,3,Entre Ríos,17.39811087905145
2020,3,Formosa,8.120337229392224
2020,3,Jujuy,13.82003703367993
2020,3,La Pampa,26.11570201882303
2020,3,La Rioja,13.34131202077163
2020,3,Mendoza,10.42235548805323
2020,3,Misiones,11.33179853701041
2020,3,Neuquén,19.42045929269766
2020,3,Río Negro,17.54802558517
2020,3,Salta,12.67023930712541
2020,3,San Juan,9.88083251128296
2020,3,San Luis,22.8839263803681
2020,3,Santa Cruz,10.69720703252652
2020,3,Santa Fe,22.67771052268158
2020,3,Santiago Del Estero,10.76484130094044
2020,3,Tierra Del Fuego,22.7715153638102
2020,3,Tucumán,13.18499070355562
2020,2,Buenos Aires,21.55285840483632
2020,2,Capital Federal,44.15182686820503
2020,2,Catamarca,11.5566668352857
2020,2,Chaco,10.64619827892056
2020,2,Chubut,17.5779234120481
2020,2,Córdoba,22.26262976828414
2020,2,Corrientes,10.61313995048166
2020,2,Entre Ríos,16.90464963972206
2020,2,Formosa,7.925539742616724
2020,2,Jujuy,12.24600027526104
2020,2,La Pampa,25.07384596485546
2020,2,La Rioja,13.26754888044324
2020,2,Mendoza,10.11665246937357
2020,2,Misiones,11.13691967435183
2020,2,Neuquén,19.02059866374008
2020,2,Río Negro,17.33845375153653
2020,2,Salta,12.49282282191533
2020,2,San Juan,8.939786450606132
2020,2,San Luis,22.44028664772224
2020,2,Santa Cruz,10.6506751720812
2020,2,Santa Fe,22.01189934872471
2020,2,Santiago Del Estero,10.78764863490673
2020,2,Tierra Del Fuego,22.64239244733588
2020,2,Tucumán,12.82679666175818
2020,1,Buenos Aires,21.20808101421276
2020,1,Capital Federal,44.02408243452466
2020,1,Catamarca,9.568286447482455
2020,1,Chaco,10.01835800780632
2020,1,Chubut,15.71513973994919
2020,1,Córdoba,21.64232669040361
2020,1,Corrientes,10.19819229726428
2020,1,Entre Ríos,16.77938759425677
2020,1,Formosa,7.693633209507935
2020,1,Jujuy,11.93450571369425
2020,1,La Pampa,24.96348894596364
2020,1,La Rioja,12.33742368867019
2020,1,Mendoza,9.248656325291032
2020,1,Misiones,10.62762105598217
2020,1,Neuquén,18.40987288359888
2020,1,Río Negro,16.95263605430754
2020,1,Salta,12.01169720097655
2020,1,San Juan,8.251277881190129
2020,1,San Luis,21.8387693863723
2020,1,Santa Cruz,10.70417253729862
2020,1,Santa Fe,21.86132458787361
2020,1,Santiago Del Estero,10.53921216683864
2020,1,Tierra Del Fuego,22.55255325086038
2020,1,Tucumán,11.85246490179374
2019,4,Buenos Aires,21.13508938190889
2019,4,Capital Federal,44.18705360861236
2019,4,Catamarca,9.268865071492511
2019,4,Chaco,9.84506318966921
2019,4,Chubut,15.6771711859264
2019,4,Córdoba,21.57949716642836
2019,4,Corrientes,10.20828363736802
2019,4,Entre Ríos,17.33913262989298
2019,4,Formosa,7.755476118924716
2019,4,Jujuy,11.60391510228381
2019,4,La Pampa,25.34492184762038
2019,4,La Rioja,12.5475635674596
2019,4,Mendoza,9.390112733918839
2019,4,Misiones,10.83758190249185
2019,4,Neuquén,17.66818497692189
2019,4,Río Negro,17.13387032217983
2019,4,Salta,12.1954928055468
2019,4,San Juan,8.36915261267133
2019,4,San Luis,21.44135289326783
2019,4,Santa Cruz,10.92342779772375
2019,4,Santa Fe,21.84835065573258
2019,4,Santiago Del Estero,10.65197428833792
2019,4,Tierra Del Fuego,23.62754675261622
2019,4,Tucumán,11.80318128071207
2019,3,Buenos Aires,22.76173361556222
2019,3,Capital Federal,46.90477089348806
2019,3,Catamarca,7.855954765218487
2019,3,Chaco,9.580664387529255
2019,3,Chubut,14.58046654871896
2019,3,Córdoba,21.00078177695354
2019,3,Corrientes,10.13402811417869
2019,3,Entre Ríos,17.31166182559792
2019,3,Formosa,7.664177713890219
2019,3,Jujuy,11.33420698124101
2019,3,La Pampa,25.51900270564139
2019,3,La Rioja,12.76243179085612
2019,3,Mendoza,11.36818901627922
2019,3,Misiones,10.71334833445895
2019,3,Neuquén,19.09207567964172
2019,3,Río Negro,19.50849859122939
2019,3,Salta,10.77185462341608
2019,3,San Juan,9.440941485226007
2019,3,San Luis,24.39097116617467
2019,3,Santa Cruz,10.60155519258422
2019,3,Santa Fe,21.65642474636163
2019,3,Santiago Del Estero,13.72528804836408
2019,3,Tierra Del Fuego,28.59892519321212
2019,3,Tucumán,9.781574184382116
2019,2,Buenos Aires,22.21578948429807
2019,2,Capital Federal,46.08592579281094
2019,2,Catamarca,8.173397032450584
2019,2,Chaco,9.125011329267105
2019,2,Chubut,14.40380872789607
2019,2,Córdoba,20.84163724223824
2019,2,Corrientes,10.04745901942046
2019,2,Entre Ríos,17.18582044467247
2019,2,Formosa,7.742195783956093
2019,2,Jujuy,11.38293459082507
2019,2,La Pampa,25.39783989548608
2019,2,La Rioja,12.965645588675
2019,2,Mendoza,11.37335654167289
2019,2,Misiones,10.66282559501838
2019,2,Neuquén,18.77790080562025
2019,2,Río Negro,18.79227675634618
2019,2,Salta,10.14661086913201
2019,2,San Juan,9.068540162527924
2019,2,San Luis,23.40822663016059
2019,2,Santa Cruz,8.584064828655885
2019,2,Santa Fe,21.2011304851442
2019,2,Santiago Del Estero,13.10158133938899
2019,2,Tierra Del Fuego,28.10756382159569
2019,2,Tucumán,9.942460440805863
2019,1,Buenos Aires,21.64173785141924
2019,1,Capital Federal,45.57918389943661
2019,1,Catamarca,8.188504627374574
2019,1,Chaco,8.722835003407456
2019,1,Chubut,13.18036806167073
2019,1,Córdoba,20.05952769269671
2019,1,Corrientes,9.25199213887151
2019,1,Entre Ríos,16.97940239329025
2019,1,Formosa,7.55368578631946
2019,1,Jujuy,11.86784976105531
2019,1,La Pampa,25.15751664047268
2019,1,La Rioja,13.35940247863778
2019,1,Mendoza,10.50886206717383
2019,1,Misiones,9.87579609120626
2019,1,Neuquén,17.52649039603429
2019,1,Río Negro,16.47812247819596
2019,1,Salta,9.711781014403453
2019,1,San Juan,8.108982017265918
2019,1,San Luis,19.27177940129152
2019,1,Santa Cruz,7.042691634453057
2019,1,Santa Fe,21.05989491738795
2019,1,Santiago Del Estero,9.311616280949599
2019,1,Tierra Del Fuego,27.68492579126185
2019,1,Tucumán,10.31263096739148
2018,4,Buenos Aires,21.05883382339852
2018,4,Capital Federal,45.24931394036689
2018,4,Catamarca,8.197333541624968
2018,4,Chaco,8.7108351925502
2018,4,Chubut,13.06172970605218
2018,4,Córdoba,19.92843117514227
2018,4,Corrientes,9.102210657080787
2018,4,Entre Ríos,16.2577940353847
2018,4,Formosa,7.568639138457005
2018,4,Jujuy,11.89948419241854
2018,4,La Pampa,24.21517562760501
2018,4,La Rioja,13.40285904824676
2018,4,Mendoza,10.53693396999764
2018,4,Misiones,9.38376401334208
2018,4,Neuquén,17.58336203291432
